TCP,estc,Wiggins number,author,author 2,author 3,author 4,author 5,translator,adaptation,missing or excluded from TCP,title,alternative title,type,genre,Wiggins genre,DEEP genre,Harbage genre,Wiggins contemporary genre,date of writing,decade,date of 1st performance,Harbage limits of performance date,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes,text_name,status
A06583,S122289,746,"Lyly, John",,,,,,,no,Campaspe,"Printed: Alexander, Campaspe, and Diogenes / Contemporary: Campaspe; Alexander and Campaspe",drama,CO,CO,Classical Legend (Comedy),,CO; tragical comedy,1583,1580,1583,,1584,1584,Oxford's Boys (Wiggins) / Children of the Chapel; Children of Paul's (DEEP),,the Blackfriars,prose,,,A06583.headed.txt,Free
A06589,S109719,794,"Lyly, John",,,,,,,no,Endymion,"Printed: Endymion, the Man in the Moon / Contemporary: Endymion / Alternative Modernization: Endimion",drama,CO,CO,Classical Legend (CO),,CO,1588,1580,1588,,1591,1591,Children of Paul's,,,prose,yes,,A06589.headed.txt,Free
A06619,S109720,754,"Lyly, John",,,,,,,no,Gallathea,Printed: Galatea / Contemporary: Tityrus and Galatea / Alternative Modernizations: Gallathea; Galathea,drama,CO,CO,Classical Legend (Comedy),,CO,1584,1580,1585,,1592,1592,Children of Paul's,,,prose,no,,A06619.headed.txt,Free
A06620,S109730,841,"Lyly, John",,,,,,,no,Love's Metamorphosis,Printed: Love's Metamorphosis,drama,TC,pastoral comedy,Pastoral,,pastoral comedy,1590,1590,1590,,1601,1601,Children of Paul's (first),Children of Paul's (first); Children of the Chapel (second),,prose,,,A06620.headed.txt,Free
A06621,S109733,835,"Lyly, John",,,,,,,no,Midas,Printed: Midas,drama,CO,CO,CO,,CO,1589,1580,1589,,1592,1592,Children of Paul's,,,prose,no,,A06621.headed.txt,Free
A06622,S114225,,"Lyly, John",,,,,,,no,Mother Bombie,,drama,CO,,CO,,,1587,1580,1591,,1594,1594,Children of Paul's (first),,,,,,A06622.headed.txt,Free
A06625,S2801,753,"Lyly, John",,,,,,,no,Sappho and Phao,Printed: Sappho and Phao / Contemporary: The Comedy of Sappho / Alternative Modernization: Sapho and Phao,drama,CO,CO,Classical Legend (Comedy),,CO,1583,1580,1583,,1584,1584,Wiggins: Oxford's Boys / DEEP: Children of the Chapel; Children of Paul's,,the Blackfriars,prose,,,A06625.headed.txt,Free
A06629,S109746,,"Lyly, John",,,,,,,no,The Woman in the Moon,,drama,CO,,CO,,,1593,1590,1593,,1597,1597,,,,,,,A06629.headed.txt,Free
A06742,S111865,1231,Anon.,,,,,,,no,The Maid's Metamorphosis,Printed: The Maid's Metamorphosis,drama,CO,pastoral romance,CO,,,1600,1600,1600,,1600,1600,Children of Paul's (second),,,iambic pentameter and prose,yes,,A06742.headed.txt,Free
A06975,S112116,,"Markham, Gervase","Machin, Lewis",,,,,,no,The Dumb Knight,,drama,CO,,CO,,,1607,1600,1608,,1608,1608,Children of the King's Revels,,,,,,A06975.headed.txt,Free
A06982,S112199,,"Markham, Gervase","Sampson, William",,,,,,no,Herod and Antipater,,drama,TR,,TR,,,1622,1620,1622,,1622,1622,Red Bull (Revels) Company (first),,,,,,A06982.headed.txt,Free
A06991,S109853,828,"Marlowe, Christopher",,,,,,,no,The Jew of Malta,"Performed: The Jew of Malta / Printed: The Rich Jew of Malta / Contemporary: The Jew; De Judaeo divite (possibly); Barabas, Juden von Malta; Joodt van Malta, ofte Wraeck door moordt",drama,TR,TR,TR,,comoedia; TR,1589,1580,1589,,1633,1633,Derby's (Strange's) Men,Queen Henrietta Maria's Men,,pentameter and prose,no,,A06991.headed.txt,Free
A07003,S109865,947,"Marlowe, Christopher",,,,,,,no,The Massacre at Paris,Performed: The Massacre / Printed: The Massacre at Paris / Contemporary: The Tragedy of the Guise; The Massacre of France; The Massacre of Paris / Later assigned: The Duke of Guise,drama,TR,TR,Foreign History,,TR,1593,1590,1593,,1594,1594,Lord Strange's (Derby's) Men,Admiral's (Nottingham's) Men,the Rose (?),yes,no,,A07003.headed.txt,Free
A07004,S122101,784,"Marlowe, Christopher",,,,,,,no,1 Tamburlaine,Performed: Tamburlaine / Printed: Tamburlaine the Great / Contemporary: The First Part of Tamburlaine; Tamburlaine the Scythian Shepherd; Mighty Tamburlaine the Scythian Shepherd; The Conquests of Tamburlaine the Scythian Shepherd; The Tragical Conquests of Tamburlaine the Scythian Shepherd,drama,TR,TR,Heroical Romance,,comical discourse; tragical discourse; poem,1587,1580,1587,,1590,1590,Admiral's (Nottingham's) Men in London,,,yes,no,,A07004.headed_003_play_001.txt,Free
A07004,S122101,789,"Marlowe, Christopher",,,,,,,no,2 Tamburlaine,Performed: The Second Part of Tamburlaine / Printed: The Second Part of the Bloody Conquests of Mighty Tamburlaine / Contemporary: Tamburlaine the Scythian Shepherd; The Conquests of Tamburlaine the Scythian Shepherd; Tamburlaine the Great,drama,TR,TR,Heroical Romance,,comical discourse; tragical discourse; poem,1587,1580,1587,,1590,1590,Admiral's (Nottingham's) Men in London,,,yes,no,,A07004.headed_028_part_001.txt,Free
A07009,S120173,810,"Marlowe, Christopher",,,,,,,no,Dr. Faustus,Performed: Doctor Faustus / Printed: The Tragical History of Doctor Faustus / Contemporary: Faustus; De Fausto; The Tragical History of the Horrible Life and Death of Dr Faustus,drama,TR,TR,TR,,comoedia; play; tragical history; HI,1588,1580,1592,,1604,1604,Admiral's (Nottingham's) Men,,,iambic pentameter and prose,no,,A07009.headed.txt,Free
A07018,S120996,927,"Marlowe, Christopher",,,,,,,no,Edward the Second,"Printed: The Troublesome Reign and Lamentable Death of Edward II, King of England, with the Tragical Fall of Proud Mortimer / Contemporary: The Tragedy of Edward II; Edward II; The Reign of Edward II / Alternative Modernization: Edward the Second",drama,HI,HI,HI,,TR,1592,1590,1592,,1594,1594,Pembroke's Men in London,,probably the Theatre,pentameter and prose,no,,A07018.headed.txt,Free
A07023,S109880,820,"Marlowe, Christopher","Nashe, Thomas",,,,,,no,"Dido, Queen of Carthage",Printed: The Tragedy of Dido; Queen of Carthage / Contemporary: The Tragedy of Dido,drama,TR,TR,TR,,TR,1585,1580,1586,,1594,1594,Children of the Chapel Royal,,,yes,no,,A07023.headed.txt,Free
A07024,S112201,,"Marmion, Shakerly",,,,,,,no,A Fine Companion,,drama,CO,,CO,,,1633,1630,1633,,1633,1633,Prince Charles's Men (second),,,,,,A07024.headed.txt,Restricted
A07025,S112203,,"Marmion, Shackerley",,,,,,,no,Holland's Leaguer,,drama,CO,,CO,,,1631,1630,1631,,1632,1632,Prince Charles's Men (second),,,,,,A07025.headed.txt,Restricted
A07063,S109896,1218,"Marston, John",,,,,,,no,Antonio and Mellida,Printed: Antonio and Mellida / Contemporary: The First Part of Antonio and Mellida; Antony and Mellida,drama,TC,CO,TC,,,1599,1590,1599,,1602,1602,Children of Paul's (second),,,iambic pentameter and prose,no,,A07063.headed.txt,Free
A07064,S112254,1271,"Marston, John",,,,,,,no,Antonio's Revenge,Printed: Antonio's Revenge / Contemporary: The Second Part of Antonio and Mellida; Antonii vindictae,drama,TR,TR,TR,,TR; HI,1600,1600,1600,,1602,1602,Children of Paul's (second),,,pentameter and prose,blank verse and couplets,,A07064.headed.txt,Free
A07065,S112255,,"Marston, John",,,,,,,no,The Dutch Courtesan,Cockle de Moye,drama,CO,,CO,,,1603,1600,1605,,1605,1605,Children of the Queen's Revels,,,,,,A07065.headed.txt,Restricted
A07067,S112257,,"Machin, Lewis","Barkstead, William","Marston, John",,,,,no,The Insatiate Countess,,drama,TR,,TR,,,1607,1600,1607,,1613,1613,Children of the Queen's Revels,,,,,,A07067.headed.txt,Free
A07074,S112291,,"Marston, John","Webster, John",,,,,,no,The Malcontent,,drama,TC,,TC,,,1602,1600,1604,,1604,1604,Children of the Queen's Revels,King's Men,,,,,A07074.headed.txt,Free
A07077,S109899,,"Marston, John",,,,,,,no,"Parasitaster, or The Fawn",,drama,CO,,CO,,,1604,1600,1604,,1606,1606,Children of the Queen's Revels,,,,,,A07077.headed.txt,Free
A07081,S109900,1283,"Marston, John",,,,,,,no,What You Will,Performed+Printed: What You Will,drama,CO,CO,CO,,CO,1601,1600,1601,,1607,1607,Children of Paul's (second),,,pentameter and prose,blank verse and couplets,,A07081.headed.txt,Free
A07083,S112294,,"Marston, John",,,,,,,no,"The Wonder of Women, or Sophonisba",,drama,TR,,TR,,,1605,1600,1605,,1606,1606,Children of the Queen's Revels,,,,,,A07083.headed.txt,Free
A07217,S112425,,"Mason, John",,,,,,,no,The Turk,Muleasses the Turk,drama,TR,,TR,,,1607,1600,1607,,1610,1610,Children of the King's Revels,,,,,,A07217.headed.txt,Free
A07234,S112410,,"Massinger, Philip",,,,,,,no,The Bondman,The Noble Bondman,drama,CO,,TC,,,1623,1620,1623,,1624,1624,Lady Elizabeth's Men,,,,,,A07234.headed.txt,Free
A07237,S112414,,"Massinger, Philip",,,,,,,no,The Duke of Milan,,drama,TR,,TR,,,1621,1620,1621,,1623,1623,King's Men,,,,,,A07237.headed.txt,Free
A07238,S112418,,"Massinger, Philip",,,,,,,no,The Emperor of the East,,drama,TC,,TC,,,1631,1630,1631,,1632,1632,King's Men,,,,,,A07238.headed.txt,Free
A07239,S112420,,"Massinger, Philip",,,,,,,no,The Great Duke of Florence,,drama,TC,,TC,,,1627,1620,1627,,1636,1636,Queen Henrietta Maria's Men,,,,,,A07239.headed.txt,Free
A07240,S112421,,"Massinger, Philip",,,,,,,no,The Maid of Honour,The Maid of Honor,drama,CO,,TC,,,1621,1620,1621,,1632,1632,Red Bull (Revels) Company (first),Queen Henrietta Maria's Men,,,,,A07240.headed.txt,Free
A07241,S112423,,"Massinger, Philip",,,,,,,no,A New Way to Pay Old Debts,,drama,CO,,CO,,,1625,1620,1625,,1633,1633,Queen Henrietta Maria's Men,,,,,,A07241.headed.txt,Free
A07245,S123113,,"Massinger, Philip",,,,,,,no,The Picture,,drama,TC,,TC,,,1629,1620,1629,,1630,1630,King's Men,,,,,,A07245.headed.txt,Free
A07246,S112427,,"Massinger, Philip",,,,,,,no,"The Renegado, or The Gentleman of Venice",,drama,CO,,TC,,,1624,1620,1624,,1630,1630,Lady Elizabeth's Men,Queen Henrietta Maria's Men,,,,,A07246.headed.txt,Free
A07247,S112428,,"Massinger, Philip",,,,,,,no,The Roman Actor,,drama,TR,,TR,,,1626,1620,1626,,1629,1629,King's Men,,,,,,A07247.headed.txt,Free
A07248,S112429,,"Massinger, Philip",,,,,,,no,The Unnatural Combat,,drama,TR,,TR,,,1624,1620,1624,,1639,1639,King's Men,,,,,,A07248.headed.txt,Free
A07249,S112430,,"Dekker, Thomas","Massinger, Philip",,,,,,no,The Virgin Martyr,,drama,TR,,TR,,,1620,1620,1620,,1622,1622,Red Bull (Revels) Company (first),,,,,,A07249.headed.txt,Free
A07251,S112432,,"Field, Nathan","Massinger, Philip",,,,,,no,The Fatal Dowry,,drama,TR,,TR,,,1619,1610,1619,,1632,1632,King's Men,,,,,,A07251.headed.txt,Free
A07326,S109948,,"May, Thomas",,,,,,,no,The Heir,,drama,CO,,CO,,,1620,1620,1620,,1622,1622,Red Bull (Revels) Company (first),,,,,,A07326.headed.txt,Free
A07329,S122116,,"May, Thomas",,,,,,,no,"Antigone, the Theban Princess",,drama,TR,,TR,,,1627,1620,1627,,1631,1631,,,,,,,A07329.headed.txt,Free
A07330,S112548,,"May, Thomas",,,,,,,no,"Cleopatra, Queen of Egypt",,drama,TR,,TR,,,1626,1620,1626,,1639,1639,,,,,,,A07330.headed.txt,Free
A07332,S122054,,"May, Thomas",,,,,,,no,"Julia Agrippina, Empress of Rome",,drama,TR,,TR,,,1628,1620,1628,,1639,1639,,,,,,,A07332.headed.txt,Free
A07367,S114462,,"Mayne, Jasper",,,,,,,no,The City Match,,drama,CO,,CO,,,1637,1630,1637,,1639,1639,King's Men,,,,,,A07367.headed.txt,Free
A07492,S121838,1311,"Dekker, Thomas",,,,,,,no,"Blurt, Master Constable","Printed: Blurt, Master Constable, or The Spaniard's Night Walk",drama,CO,CO,CO,,,1601,1600,1601,,1602,1602,Children of Paul's (second),,,prose and pentameter,couplets and blank verse,,A07492.headed.txt,Free
A07493,S121839,,"Middleton, Thomas",,,,,,,no,A Chaste Maid in Cheapside,,drama,CO,,CO,,,1613,1610,1613,,1630,1630,Lady Elizabeth's Men,,,,,,A07493.headed.txt,Free
A07495,S112570,,"Middleton, Thomas",,,,,,,no,The Family of Love,,drama,CO,,CO,,,1603,1600,1603,,1608,1608,Admiral's (Nottingham's) Men,Children of the King's Revels,,,,,A07495.headed.txt,Free
A07498,S106481,,"Middleton, Thomas",,,,,,,no,A Game at Chess,,drama,TC,,Political Satire,,,1624,1620,1624,,1625,1625,King's Men,,,,,,A07498.headed.txt,Free
A07504,S112578,,"Middleton, Thomas",,,,,,,no,"A Mad World, My Masters",,drama,CO,,CO,,,1604,1600,1605,,1608,1608,Children of Paul's (second),Queen Henrietta Maria's Men,,,,,A07504.headed.txt,Free
A07505,S112589,,"Middleton, Thomas",,,,,,,no,Michaelmas Term,,drama,CO,,CO,,,1604,1600,1604,,1607,1607,Children of Paul's (second),,,,,,A07505.headed.txt,Free
A07507,S112593,,"Middleton, Thomas",,,,,,,no,The Phoenix,,drama,CO,,CO,,,1603,1600,1603,,1607,1607,Children of Paul's (second),,,,,,A07507.headed.txt,Free
A07511,S120698,,"Middleton, Thomas",,,,,,,no,A Trick to Catch the Old One,,drama,CO,,CO,,,1605,1600,1605,,1608,1608,Children of Paul's (second),,,,,,A07511.headed.txt,Free
A07524,S121842,,"Dekker, Thomas","Middleton, Thomas",,,,,,no,"The Roaring Girl, or Moll Cutpurse",,drama,CO,,CO,,,1611,1610,1611,,1611,1611,Prince Henry's Men,,,,,,A07524.headed.txt,Free
A07528,S2820,,"Middleton, Thomas",William Rowley,,,,,,no,A Fair Quarrel,,drama,CO,,TC,,,1615,1610,1616,,1617,1617,Prince Charles's Men (first),,,,,,A07528.headed.txt,Free
A07637,S101423,,"Belchier, Dabridgcourt",,,,,,,no,Hans Beer-Pot,See Me and See Me Not,drama,CO,,Comic Dialogue,,,1618,1610,1618,,1618,1618,,,,,,,A07637.headed.txt,Free
A07649,R2909,,"Montague, Walter",,,,,,,no,The Shepherd's Paradise,,drama,CO,,Pastoral Romance,,,1633,1630,1633,,1659,1659,,,,,,,A07649.headed.txt,Free
A07859,S106305,884,Anon.,,,,,,,no,Mucedorus and Amadine,"Printed: Mucedorus, the King's Son of Valencia, and Amadine, the King's Daughter of Aragon / Later assigned: Mucedorus; Mucedorus and Amadine",drama,CO,romance,Romantic Comedy,,CO,1588,1580,1590,,1598,1598,,,,pentameter and prose,blank verse and couplets,,A07859.headed.txt,Free
A07897,S110066,1107,"Munday, Anthony","Chettle, Henry",,,,,,no,"The Death of Robert, Earl of Huntingdon","Performed: The Second Part of Robin Hood / Printed: The Death of Robert, Earl of Huntingdon / Contemporary: The Second Part of The Downfall of Earl Huntingdon, surnamed Robin Hood; The Second Part of The Downfall of Robin Hood; The Second Part of Robert Hood; The Death of Robert, Earl of Huntingdon with the Lamentable Tragedy of Chaste Matilda",drama,HI,TR,HI,,,1598,1590,1598,,1601,1601,Admiral's (Nottingham's) Men,,the Rose,pentameter and prose,blank verse and couplets,,A07897.headed.txt,Free
A07970,S113039,,"Nabbes, Thomas",,,,,,,no,The Bride,,drama,CO,,CO,,,1638,1630,1638,,1640,1640,Beeston's Boys,,,,,,A07970.headed.txt,Free
A07971,S113044,,"Nabbes, Thomas",,,,,,,no,Covent Garden,,drama,CO,,CO,,,1633,1630,1633,,1638,1638,Queen Henrietta Maria's Men,,,,,,A07971.headed.txt,Free
A07974,S113063,,"Nabbes, Thomas",,,,,,,no,Hannibal and Scipio,,drama,TR,,TR,,,1635,1630,1635,,1637,1637,Queen Henrietta Maria's Men,,,,,,A07974.headed.txt,Free
A07978,S113041,,"Nabbes, Thomas",,,,,,,no,Tottenham Court,,drama,CO,,CO,,,1633,1630,1634,,1638,1638,,,,,,,A07978.headed.txt,Free
A07979,S113067,,"Nabbes, Thomas",,,,,,,no,The Unfortunate Mother,,drama,TR,,TR,,,1639,1630,1639,,1640,1640,,,,,,,A07979.headed.txt,Free
A08009,S110081,941,"Nashe, Thomas",,,,,,,no,Summer's Last Will and Testament,Performed+Printed: Summer's Last Will and Testament / Contemporary: Will Summers' Will / Alternative Modernization: Will Somer's Will,drama,CO,CO,CO,,CO,1592,1590,1592,,1600,1600,Children of the Chapel,,"probably the Archbishop's Palace, Croydon",prose and pentameter,blank verse and couplets,,A08009.headed.txt,Free
A08065,S113150,,Anon.,,,,,,,no,Nero,Piso's Conspiracy,drama,TR,,TR,,,1624,1620,1624,,1624,1624,,,,,,,A08065.headed.txt,Restricted
A08262,S113225,,Anon.,,,,,,,no,Nobody and Somebody,,drama,HI,,Pseudo-History,,,1603,1600,1605,,1606,1606,Queen Anne's Men,,,,,,A08262.headed.txt,Free
A08360,S111262,351,"Norton, Thomas","Sackville, Thomas",,,,,,no,Gorboduc,Printed: The Tragedy of Gorboduc / Contemporary: The Tragedy of King Gorboduc; The Tragedy of Ferrex and Porrex,drama,TR,TR,TR,,TR,1562,1560,1562,,1565,1565,Inner Temple,,,yes,no,,A08360.headed.txt,Free
A08469,S106323,1211,"Munday, Anthony","Drayton, Michael","Wilson, Robert","Hathaway, Richard",,,,no,1 Sir John Oldcastle,"Performed: Sir John Oldcastle / Printed: The First Part of...the Life of Sir John Oldcastle, the Good Lord Cobham / Contemporary: The Life of Sir John Oldcastle; Oldcastle",drama,HI,HI,HI,,,1599,1590,1599,,1600,1600,Admiral's (Nottingham's) Men,,the Rose,pentameter and prose,no,,A08469.headed.txt,Free
A08731,S106656,,"Berkeley, Sir William",,,,,,,no,The Lost Lady,,drama,TC,,TC,,,1637,1630,1637,,1638,1638,King's Men,,,,,,A08731.headed.txt,Free
A09134,S110343,747,"Pasqualigo, Luigi",,,,,"Munday, Anthony",,no,Fedele and Fortunia,Printed: Fedele and Fortunio: The Deceits in Love / Contemporary: Two Italian Gentlemen / Alternative Modernization: Fidele and Fortunio,drama,CO,CO,CO,,CO,1583,1580,1584,,1585,1585,Children of the Chapel Royal,,Blackfriars (?),yes,yes,,A09134.headed.txt,Free
A09220,S110334,751,"Peele, George",,,,,,,no,The Arraignment of Paris,Printed: The Arraignment of Paris,drama,TC,pastoral,Classical Legend (Pastoral),,pastoral,1581,1580,1581,,1584,1584,Children of the Chapel Royal,,probably at Whitehall Palace,yes,yes,,A09220.headed.txt,Free
A09221,S110337,811,"Peele, George",,,,,,,no,The Battle of Alcazar,Performed+Printed+MS: The Battle of Alcazar / Contemporary: The Tragical Battle of Alcazar; The Tragical Battle of Alcazar in Barbary; Muly Molocco (possibly); Mahamet (possibly) / Later assigned: The Battle of Alcazar in Barbary,drama,HI,TR,Foreign History,,TR,1588,1580,1589,,1594,1594,Admiral's (Nottingham's) Men,,,yes,blank verse and couplets,,A09221.headed.txt,Free
A09224,S110371,881,"Peele, George",,,,,,,no,Edward the First,"Printed: The Famous Chronicle of King Edward I, surnamed Longshanks / Contemporary: Edward Longshanks / Later assigned: Edward I",drama,HI,HI,HI,,interlude; chronicle,1591,1590,1591,,1593,1593,,,,"pentameter, prose, and fourteeners",blank verse and couplets,,A09224.headed.txt,Free
A09228,S110364,870,"Peele, George",,,,,,,no,The Love of David and Fair Bathsheba,"Printed: The Love of King David and Fair Bathsheba, with the Tragedy of Absalom / Contemporary: David and Bathsheba; The Love of David and Fair Bathsheba; Solomon and Bathsheba; Lapsus David cum Bathsheba (possibly) / Alternative Modernization: David and Bethsabe; David and Bersabe",drama,TR,biblical history,Biblical History,,TR,1590,1590,1594,,1599,1599,,,,yes,no,,A09228.headed.txt,Free
A09232,S110404,913,"Peele, George",,,,,,,no,The Old Wives Tale,Printed: The Old Wife's Tale / Alternative Modernizations: The Old Wives' Tale; The Old Wives Tale,drama,CO,romance,Romance,,interlude; 'pleasant conceited comedy',1588,1580,1590,,1595,1595,Queen Elizabeth's Men,,,mixed,blank verse and couplets,,A09232.headed.txt,Free
A09857,S110459,1151,"Porter, Henry",,,,,,,no,1 The Two Angry Women of Abingdon,Printed: The Two Angry Women of Abingdon / Alternative modernization: The Two Angry Women of Abington,drama,CO,CO,CO,,'pleasant history'; 'pleasant comedy',1598,1590,1598,,1599,1599,Admiral's (Nottingham's) Men,,presumably the Rose,pentameter and prose,blank verse and couplets,,A09857.headed.txt,Free
A10041,S110547,480,"Preston, Thomas",,,,,,,no,Cambises,"Printed: Cambyses, King of Persia / Contemporary: A Comedy of King Cambyses; Cambyses / Alternative Modernization: Cambises, King of Persia",drama,TR,TR,TR,,'tragical history'; interlude; TR; CO,1558,1550,1561,,1569,1570,,,,yes,yes,,A10041.headed.txt,Restricted
A10192,S109029,581,"B?ze, Th?odore de",,,,,"Golding, Arthur",,no,Abraham's Sacrifice,Printed: Abraham's Sacrifice,drama,TR,biblical,TR,,TR,1575,1570,1575,,1577,1577,,,,yes,yes,,A10192.headed.txt,Free
A10407,S115594,,"Randolph, Thomas",,,,,,,no,The Jealous Lovers,,drama,CO,,CO,,,1632,1630,1632,,1632,1632,,,,,,,A10407.headed.txt,Free
A10438,S119335,,"Rastell, John",,,,,,,no,The Beauty and Good Properties of Women,,drama,CO,,Romantic Interlude,,,1527,1520,1527,,1525,1525,,,,,,,A10438.headed.txt,Free
A10495,S115676,,"Rawlins, Thomas",,,,,,,no,The Rebellion,,drama,TR,,TR,,,1638,1630,1638,,1640,1640,King's Revels Company,,,,,,A10495.headed.txt,Free
A10730,S111104,,Anon.,,,,,,,no,The True Tragedy of Richard the Third,,drama,HI,,HI,,,1588,1580,1591,,1594,1594,Queen Elizabeth's Men,,,,,,A10730.headed.txt,Free
A11145,S116260,,"Dekker, Thomas",,,,,,,no,The Noble Spanish Soldier,"The Noble Soldier, or A Contract Broken Justly Revenged",drama,TR,,Pseudo-History,,,1622,1620,1622,,1634,1634,,,,,,,A11145.headed.txt,Free
A11146,S102964,,"Rowley, Samuel",,,,,,,no,When You See Me You Know Me,Henry the Eighth,drama,HI,,HI,,,1604,1600,1605,,1605,1605,Prince Henry's Men,,,,,,A11146.headed.txt,Free
A11151,S116268,,"Rowley, William",,,,,,,no,A Match at Midnight,,drama,CO,,CO,,,1622,1620,1622,,1633,1633,Red Bull (Revels) Company (first),Children of the Queen's Revels,,,,,A11151.headed.txt,Free
A11152,S116266,,"Rowley, William",,,,,,,no,A Shoemaker a Gentleman,,drama,CO,,CO,,,1607,1600,1608,,1638,1638,Queen Anne's Men,,,,,,A11152.headed.txt,Free
A11153,S116272,,"Rowley, William",,,,,,,no,"A New Wonder, A Woman Never Vexed",,drama,CO,,CO,,,1611,1610,1611,,1632,1632,,,,,,,A11153.headed.txt,Free
A11155,S116285,,"Rowley, William",,,,,,,no,All's Lost by Lust,,drama,TR,,TR,,,1619,1610,1619,,1633,1633,Prince Charles's Men (first),Lady Elizabeth's Men; Queen Henrietta Maria's Men,,,,,A11155.headed.txt,Free
A11205,S116288,,"Rutter, Joseph",,,,,,,no,The Shepherds' Holiday,,drama,TC,,Pastoral,,,1633,1630,1634,,1635,1635,Queen Henrietta Maria's Men,,,,,,A11205.headed.txt,Restricted
A11262,S106301,885,"S., W.",,,,,,,no,Locrine,"Printed: The Lamentable Tragedy of Locrine, the Eldest Son of King Brutus / Contemporary: The Lamentable Tragedy of Locrine, the Eldest Son to King Brutus / Later Assigned: Locrine",drama,TR,TR,Pseudo-History,,TR,1591,1590,1594,,1595,1595,,,,pentameter and prose,blank verse and couplets,,A11262.headed.txt,Free
A11264,S106337,,"Middleton, Thomas",,,,,,,no,"The Puritan, or The Widow of Watling Street",,drama,CO,,CO,,,1606,1600,1606,,1607,1607,Children of Paul's (second),,,,,,A11264.headed.txt,Free
A11265,S104562,1290,"S., W.",,,,,,,no,Thomas Lord Cromwell,"Printed: Thomas, Lord Cromwell / Contemporary: The Life and Death of the Lord Cromwell; Lord Cromwell; The Lord Cromwell",drama,HI,HI,HI,,HI,1599,1590,1600,,1602,1602,Lord Chamberlain's (Hunsdon's) Men,,presumably the Globe,prose and pentameter,no,,A11265.headed.txt,Free
A11435,S116468,,"Sampson, William",,,,,,,no,"The Vow Breaker, or The Fair Maid of Clifton",,drama,CO,,TR; HI,,,1625,1620,1625,,1636,1636,,,,,,,A11435.headed.txt,Free
A11909,S117108,342,"Seneca, Lucius Annaeus",,,,,"Heywood, Jasper",,no,Hercules Furens,Printed: Hercules furens,drama,TR,TR,TR,,TR,1561,1560,1561,,1561,1581,,,,yes,yes,,A11909.headed_004_tragedy_001.txt,Free
A11909,S117108,330,"Seneca, Lucius Annaeus",,,,,"Heywood, Jasper",,no,Thyestes,Printed: Thyestes,drama,TR,TR,TR,,TR,1560,1560,1560,,1560,1581,,,,yes,yes,,A11909.headed_010_tragedy_002.txt,Free
A11909,S117108,704,"Seneca, Lucius Annaeus",,,,,"Newton, Thomas",,no,Thebais,Printed: Thebais,drama,TR,TR,TR,,TR,1581,1580,1581,,1581,1581,,,,yes,yes,,A11909.headed_020_tragedy_003.txt,Free
A11909,S117108,442,"Seneca, Lucius Annaeus",,,,,"Studley, John",,no,Hippolytus,Printed: Hippolytus,drama,TR,TR,TR,,TR,1567,1560,1567,,1581,1581,,,,yes,yes,,A11909.headed_025_tragedy_004.txt,Free
A11909,S117108,333,"Seneca, Lucius Annaeus",,,,,"Neville, Alexander",,no,Oedipus,"Printed: Oedipus, the Son of Laius, King of Thebes / Contemporary: The Lamentable History of the Prince Oedipus; Oedipus",drama,TR,TR,TR,,TR; HI,1560,1560,1563,,1563,1581,,,,yes,yes,,A11909.headed_032_tragedy_005.txt,Free
A11909,S117108,308,"Seneca, Lucius Annaeus",,,,,"Heywood, Jasper",,no,Troas,Printed: Troas,drama,TR,TR,TR,,TR; treatise,1558,1550,1559,,1559,1581,,,,yes,yes,,A11909.headed_048_tragedy_006.txt,Free
A11909,S117108,422,"Seneca, Lucius Annaeus",,,,,"Studley, John",,no,Medea,Printed: Medea,drama,TR,TR,TR,,TR,1566,1560,1566,,1566,1581,,,,yes,yes,,A11909.headed_063_tragedy_007.txt,Free
A11909,S117108,415,"Seneca, Lucius Annaeus",,,,,"Studley, John",,no,Agamemnon,Printed: Agamemnon,drama,TR,TR,TR,,TR,1566,1560,1566,,1566,1581,,,,yes,yes,,A11909.headed_069_tragedy_008.txt,Free
A11909,S117108,425,"Seneca, Lucius Annaeus",,,,,"Nuce, Thomas",,no,Octavia,Printed: Octavia,drama,TR,TR,TR,,TR,1566,1560,1566,,1566,1581,,,,yes,yes,,A11909.headed_079_tragedy_009.txt,Free
A11909,S117108,426,"Seneca, Lucius Annaeus",,,,,"Studley, John",,no,Hercules Oetaeus,Printed: Hercules Oetaeus,drama,TR,TR,TR,,TR,1566,1560,1566,,1581,1581,,,,yes,yes,,A11909.headed_099_tragedy_010.txt,Free
A11954,S111228,,"Shakespeare, William",,,,,,,no,The Tempest,,drama,CO,,CO,,,1611,1610,1611,,1623,1623,King's Men,,,,,,A11954.headed_014_play_001.txt,Free
A11954,S111228,970,"Shakespeare, William",,,,,,,no,The Two Gentlemen of Verona,Printed: The Two Gentlemen of Verona / Contemporary: [The] Gentlemen of Verona,drama,CO,CO,CO,,CO,1590,1590,1590,,1623,1623,Lord Chamberlain's (Hunsdon's) Men,,,iambic pentameter and prose,blank verse and couplets,,A11954.headed_031_play_002.txt,Free
A11954,S111228,1079,"Shakespeare, William",,,,,,,no,The Merry Wives of Windsor,Performed+Printed: The Merry Wives of Windsor / Contemporary: Falstaff,drama,CO,CO,CO,,CO,1597,1590,1597,,1602,1623,Lord Chamberlain's (Hunsdon's) Men,,the Theatre or Curtain,prose and pentameter,no,,A11954.headed_058_play_003.txt,Free
